player__participant__session__code,player__participant__session_id,player__participant__id_in_session,player__participant__code,channel,word,timestamp
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,dog,1501084534.99503
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,rots,1501084538.33883
gbwspag3,8,4,9kbfxoqe,word-8-anagrams-16,sap,1501084540.86901
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,rolls,1501084547.35979
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,god,1501084548.15353
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,door,1501084558.60391
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,cross,1501084559.21778
gbwspag3,8,4,9kbfxoqe,word-8-anagrams-16,sar,1501084576.21027
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,pool,1501084580.25847
gbwspag3,8,5,trb9jlu8,word-8-anagrams-16,past,1501084584.56663
gbwspag3,8,5,trb9jlu8,word-8-anagrams-16,bat,1501084603.40158
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,lord,1501084604.64531
gbwspag3,8,5,trb9jlu8,word-8-anagrams-16,tab,1501084610.92981
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,colt,1501084611.60522
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,pool,1501084627.25869
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,cop,1501084631.03768
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,loop,1501084636.3383
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,top,1501084640.95464
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,loops,1501084641.01845
gbwspag3,8,4,9kbfxoqe,word-8-anagrams-16,poor,1501084647.91232
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,cop,1501084649.79352
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,goop,1501084652.28939
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,cops,1501084654.07164
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,pod,1501084657.02131
gbwspag3,8,3,pxvjdff7,word-8-anagrams-16,pools,1501084661.43741
gbwspag3,8,4,9kbfxoqe,word-8-anagrams-16,lar,1501084661.74432
gbwspag3,8,5,trb9jlu8,word-8-anagrams-16,cap,1501084663.11959
gbwspag3,8,5,trb9jlu8,word-8-anagrams-16,cat,1501084665.69919
gbwspag3,8,4,9kbfxoqe,word-8-anagrams-16,roll,1501084675.28698
gbwspag3,8,2,wrx1fizh,word-8-anagrams-16,old,1501084682.98699
c09hp88s,21,1,8y4o4v7h,word-21-anagrams-42,aaa,1501187026.77847
c09hp88s,21,1,8y4o4v7h,word-21-anagrams-42,eee,1501187028.72741
c09hp88s,21,1,8y4o4v7h,word-21-anagrams-42,aau,1501187032.90467
c09hp88s,21,3,49k2js7l,word-21-anagrams-42,fit,1501187045.89512
c09hp88s,21,3,49k2js7l,word-21-anagrams-42,tiff,1501187047.25538
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,sat,1501188138.17924
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bite,1501188141.30646
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,deer,1501188143.0596
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,one,1501188143.40459
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,tie,1501188150.43531
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bit,1501188155.90193
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,suet,1501188158.63301
